symbol,name,tdx_api_mkt,code
SH600452,涪陵电力,1,600452
SH600446,金证股份,1,600446
SH600438,通威股份,1,600438
SH600436,片仔癀,1,600436
SH600435,北方导航,1,600435
SH600426,华鲁恒升,1,600426
SH600422,昆药集团,1,600422
SH600420,国药现代,1,600420
SH600419,天润乳业,1,600419
SH600418,江淮汽车,1,600418
SH600416,湘电股份,1,600416
SH600406,国电南瑞,1,600406
SH600399,抚顺特钢,1,600399
SH600392,盛和资源,1,600392
SH600391,航发科技,1,600391
SH600389,江山股份,1,600389
SH600388,ST龙净,1,600388
SH600383,金地集团,1,600383
SH600381,青海春天,1,600381
SH600380,健康元,1,600380
SH600379,宝光股份,1,600379
SH600373,中文传媒,1,600373
SH600372,中航电子,1,600372
SH600371,万向德农,1,600371
SH600367,红星发展,1,600367
SH600366,宁波韵升,1,600366
SH600363,联创光电,1,600363
SH600362,江西铜业,1,600362
SH600359,新农开发,1,600359
SH600353,旭光电子,1,600353
SH600352,浙江龙盛,1,600352
SH600348,华阳股份,1,600348
SH600346,恒力石化,1,600346
SH600338,西藏珠峰,1,600338
SH600335,国机汽车,1,600335
SH600332,白云山,1,600332
SH600330,天通股份,1,600330
SH600329,达仁堂,1,600329
SH600328,中盐化工,1,600328
SH600325,华发股份,1,600325
SH600316,洪都航空,1,600316
SH600315,上海家化,1,600315
SH600313,农发种业,1,600313
SH600312,平高电气,1,600312
SH600309,万华化学,1,600309
SH600305,恒顺醋业,1,600305
SH600298,安琪酵母,1,600298
SH600295,鄂尔多斯,1,600295
SH600285,羚锐制药,1,600285
SH600276,恒瑞医药,1,600276
SH600273,嘉化能源,1,600273
SH600271,航天信息,1,600271
SH600268,国电南自,1,600268
SH600267,海正药业,1,600267
SH600259,广晟有色,1,600259
SH600258,首旅酒店,1,600258
SH600256,广汇能源,1,600256
SH600238,海南椰岛,1,600238
SH600233,圆通速递,1,600233
SH600230,沧州大化,1,600230
SH600223,鲁商发展,1,600223
SH600216,浙江医药,1,600216
SH600213,亚星客车,1,600213
SH600212,绿能慧充,1,600212
SH600211,西藏药业,1,600211
SH600206,有研新材,1,600206
SH600201,生物股份,1,600201
SH600199,金种子酒,1,600199
SH600197,伊力特,1,600197
SH600196,复星医药,1,600196
SH600195,中牧股份,1,600195
SH600188,兖矿能源,1,600188
SH600185,格力地产,1,600185
SH600183,生益科技,1,600183
SH600176,中国巨石,1,600176
SH600171,上海贝岭,1,600171
SH600161,天坛生物,1,600161
SH600160,巨化股份,1,600160
SH600158,中体产业,1,600158
SH600153,建发股份,1,600153
SH600152,维科技术,1,600152
SH600151,航天机电,1,600151
SH600150,中国船舶,1,600150
SH600143,金发科技,1,600143
SH600141,兴发集团,1,600141
SH600138,中青旅,1,600138
SH600132,重庆啤酒,1,600132
SH600131,国网信通,1,600131
SH600129,太极集团,1,600129
SH600123,兰花科创,1,600123
